Username,Tweet ID,Creation Date,Tweet
1future,1464998760803667970,2021-11-28 16:44:57+00:00,WAGMI https://t.co/INvwUeMw9W
1future,1464833267710889990,2021-11-28 05:47:20+00:00,gm https://t.co/QW0IwCW9gF
1future,1464832837895573504,2021-11-28 05:45:38+00:00,#NewProfilePic https://t.co/AjyCZTqC4e
1future,1459299763782926346,2021-11-12 23:19:10+00:00,RT @DoeBoyOfficial: 2 years ago today @1future made me a millionaire … Dis shit forever wit us ❤️🦅
1future,1454250441169113090,2021-10-30 00:54:58+00:00,I RATHER HANG WITH JADA’
1future,1453481510846226441,2021-10-27 21:59:31+00:00,Catch me live poolside Saturday 10/30 with Animal Concerts at the Fontainebleau Miami Beach for the Maxim Halloween… https://t.co/E29xE5A5A8
1future,1452148483679416324,2021-10-24 05:42:32+00:00,...THE BOY 🦉🦅❤️
1future,1451733554900045829,2021-10-23 02:13:46+00:00,21 DAY 🦅❤️ 6$h!t 4L
1future,1444487853803597824,2021-10-03 02:21:56+00:00,https://t.co/KTxWhUmqf8
1future,1442960489894580225,2021-09-28 21:12:44+00:00,🦅🦅🦅 https://t.co/wSh2RZIJFq
1future,1439641949158486018,2021-09-19 17:26:02+00:00,Happy bday to my son Jaiden..I’m behind u 1000%!! I love u the most kid
1future,1438710883761459203,2021-09-17 03:46:19+00:00,Happy born day @MetroBoomin love u kid 🦅
1future,1436331141573877763,2021-09-10 14:10:04+00:00,Just finished a remix of a song called Dèja Vu on the upcoming #Ps5 game #DEATHLOOP releasing 9/14. But at what cos… https://t.co/hCVsk0NOf3
1future,1432252461851549698,2021-08-30 08:02:51+00:00,Friday SKYAMI bka MIAMI THE BENEFIT CONCERT #MYHEARTISWITHHAITI
1future,1432252205449596928,2021-08-30 08:01:50+00:00,The concert that will change lives #myheartiswithhaiti
1future,1432252040944685058,2021-08-30 08:01:11+00:00,Friday SKYAMI bka MIAMI the concert that will change live #myheartiswithhaiti
1future,1432251539075346432,2021-08-30 07:59:11+00:00,#NewProfilePic https://t.co/rXBHS1tHNS
1future,1427397148040171521,2021-08-16 22:29:34+00:00,SLIME DAY ❤️ #YSL
1future,1426473304731361282,2021-08-14 09:18:33+00:00,Jus a matter of slime. #FreeMelly Go get the album
