Username,Tweet ID,Tweet,Favourites Count,Retweet Count
mchooyah,1468159200752816131,"80 years ago today, it was proven that we are not completely protected by two oceans. Never Forget Pearl Harbor.",6993,989
BeschlossDC,1468180007646289924,"Pearl Harbor, eighty years ago today: https://t.co/c0sL9yBfQL",2067,720
DeptofDefense,1468173520421203970,"Dec. 7 remains a day that lives in infamy even after 80 years. Today, we honor those who lost their lives in the at… https://t.co/3NXE4mO4fk",1097,532
BeschlossDC,1468052017750986757,“Air Raid on Pearl Harbor….This Is Not Drill” — eighty years ago tomorrow: https://t.co/a2VEzgdzrG,3304,851
laurenboebert,1468206875158233092,"Never forget Pearl Harbor. Never forget the bravery of those who fought for our country.

We honor the memory of th… https://t.co/LVY54TkqBI",3007,494
ABC,1468189064297959430,"ON THIS DAY: 80 years ago, the Empire of Japan launched an air raid on the U.S. Navy base at Pearl Harbor that clai… https://t.co/qM8JrSR6r8",958,489
thedailybeast,1467823399804231680,A 101-year-old Pearl Harbor survivor will travel to Hawaii for the 80th anniversary after his daughter raised nearl… https://t.co/arvI6Yf8Pi,1419,267
USNavy,1468203669585805320,"Today, the #USNavy remembers and honors those that gave the ultimate sacrifice during the attacks at Pearl Harbor o… https://t.co/DFn6jB3mg9",899,409
BeschlossDC,1468002889666805761,"Pearl Harbor, Hawaii, five weeks before attack that occurred tomorrow 1941: https://t.co/OmWB1Ob39o",1901,361
johncardillo,1468195649992679431,"Today is the 80th anniversary of the Pearl Harbor attack.

We didn’t respond with critical race theory, or Asian ge… https://t.co/kcCYArPEyM",769,189
RonnyJacksonTX,1468193990784827394,"Today we honor the brave Americans who fought and died at Pearl Harbor 80 years ago. In the days that followed, mil… https://t.co/7eALei6RsE",877,184
steelers,1468216936815280128,".@CamHeyward is our nominee for the Walter Payton NFL Man of the Year, presented by @Nationwide.

RETWEET &amp; reply w… https://t.co/bEYeYjcC1R",516,167
Eagles,1468216345376473096,"Congratulations to Jason Kelce, our @Nationwide Walter Payton Man of the Year nominee!

#WPMOYChallengeKelce |… https://t.co/G5mv71ExRE",1389,187
NFL,1468217491969167369,The Walter Payton NFL Man of the Year Award presented by @Nationwide honors players who have exhibited excellence o… https://t.co/aXBI57ynlI,764,139
WashingtonNFL,1468216395238285319,"Jon Allen's story is an inspiration to all of us

We are honored to nominate him as our Walter Payton NFL Man of th… https://t.co/2X2K5dJDWD",312,82
packers,1468217769154035718,"“It means everything to me.""

Congratulations to @Showtyme_33 on being the #Packers nominee for the Walter Payton N… https://t.co/gds02Bk7Bo",574,77
Ravens,1468215417596485639,"We're so proud to announce @BSBoze as our @Nationwide Walter Payton Man of the Year nominee 💜

#WPMOYChallenge |… https://t.co/O0349RS4zI",631,108
Browns,1468211713107496966,"We're proud to name @denzelward our Walter Payton Man of the Year nominee!

Congrats, Denzel! #WPMOY",865,105
Buccaneers,1468217576601829389,Congratulations to @MikeEvans13_ on being named our nominee for Walter Payton Man of the Year! 👏,684,80
GehlkenNFL,1468219783871148037,Dak Prescott is the Cowboys’ nominee for the Walter Payton NFL Man of the Year Award. He has pushed for advancing s… https://t.co/62uSa5UuII,229,37
Patriots,1468215435774595078,"On the field and in the community, he's just that Guy.

Congratulations to our 2021 Walter Payton Man of the Year n… https://t.co/jO4opEGvSz",361,37
Titans,1468216399613276162,"Derrick Henry named #Titans nominee for Walter Payton Man of the Year Award #WPMOY

""Helping others in need is some… https://t.co/8eVu4aCzCi",207,46
ChicagoBears,1468216973872058372,"A well-deserved honor. 👏 

For the second year in a row, @TheJimmyGraham is our Walter Payton Man of the Year nomin… https://t.co/o7n6Yy3Mf6",343,37
Saints,1468215972192567300,"Congrats to @CamJordan94: the #Saints 2021 Man of the Year, making him the club nominee for the NFL Walter Payton M… https://t.co/gafJuHVcaw",217,43
MiamiDolphins,1468216466986405890,"Making a difference on 𝐀𝐍𝐃 off the field. 🙌

This year, @Lastname_Baker is our Walter Payton Man of the Year nomine… https://t.co/WgT3AMUlyX",221,40
Bengals,1468216844175564801,"A leader on AND off the field. 👏 RT to congratulate our 2021 Walter Payton Man of the Year nominee, @Sam_Hubbard_!… https://t.co/WM1lQYCM8k",224,57
IsraelinIndia,1468115365414588422,"Ambassador @NaorGilon, DCM @RonyYedidia Our Consul Generals @Jonathan_Zadka, @KobbiShoshani and our diplomats in th… https://t.co/sCV9pecBWc",157,19
HarshBisaria,1468054360395431940,"""Never bend your head. Always hold it high. Look the world straight in the eye."" - Helen Keller. #tuesdayvibe… https://t.co/ZtYuagqkJJ",36,26
HariPrriya6,1468093131333668865,"Saying hello with yellow 🙋🏻‍♀️🥰

#tuesdayvibe #Yellove #TuesdayFeeling https://t.co/MUWat0r0UQ",614,26
CSCegov_,1468120403331600384,"PM SVANidhi Scheme Through CSCs and HDFC...

Incentive To CSCs (Per Application) For Sourcing Of Application For HD… https://t.co/nIIquOnSgl",68,17
SatlokChannel,1465583851351068674,"What is the Benefit of Chanting Gayatri Mantra?

To know, must read the sacred book ""Gyan Ganga"" by Sant Rampal Ji… https://t.co/BzrumzEwEq",2315,2261
CGMeifangZhang,1468112617889751045,Traveling to work in 'first class'🥰🎇💫😀🐶 #animals #Tuesday #tuesdayvibe https://t.co/CgtgXLIgxr,51,11
holland_barrett,1465692836699930631,"It’s almost #December 😍 To celebrate, we’re sharing the #tuesdayvibe and giving you the chance to WIN a £50 H&amp;B Vou… https://t.co/slC1IulVok",898,1186
Daily_Express,1468194245593157632,An elderly couple who live in the UK's darkest village have lit up the sky with their #Christmastree which they pla… https://t.co/w2KBQ9ST68,11,5
Sangram_Sanjeet,1468178521801609222,"Self belief is key of Success 🙏
Antalya #Turkey ❤️
#tuesdayvibe https://t.co/eFWRLH8Joz",29,5
LisaEvers,1468188105941389322,"Good morning!
“Trust the process of life to be there for you as you move forward, and start believing helpful peopl… https://t.co/UKoTOCeTSo",21,6
IamAnitaBhat,1468131897855262721,"""Let your faith
be bigger than your 
Fears""
#GoodAfternoon
#tuesdayvibe
#tuesdaymotivations
#Tuesday https://t.co/LTgz2H39MH",227,6
tsrtcmdoffice,1465551609123930115,Donating blood for 25th time at #TSRTC #MegaBloodDonationCamp in MGBS. I sincerely Appeal all the public to come fo… https://t.co/AQtXrOlu9i,568,121
RealSaltLife,1465686048357425155,"An ocean breeze puts a mind at ease..
Live #salty 🌊

#Saltlife #ocean #beach #fishing #tuesdayvibe… https://t.co/qv1pnGA7k3",113,68
